seed,cell,policy,k,epsilon_label,success_rate,mean_steps,mean_final_distance,mean_total_reward,frac_success_T_le_3,frac_success_T_4_or_5,frac_success_T_gt_5,mean_tox_path,mean_common_essential_per_ep,fraction_zero_common_essential,mean_unc_path_max,mean_unc_path_mean
42,k2_bin6-8_splitood,PPO_BCD,2,p15,0.825,2.0,2.7003371617117193,0.8072068481671115,1.0,0.0,0.0,0.0,0.0,1.0,0.3558630366577688,0.33121183348855143
42,k2_bin6-8_splitood,random_uniform_valid,2,p15,0.12,1.97,3.891935692374475,0.09624408049694953,1.0,0.0,0.0,0.026491271769627928,0.06,0.94,0.3621358465217536,0.3388729595255588
42,k2_bin6-8_splitood,always_noop,2,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k2_bin6-8_splitood,greedy_dyn_1_fused,2,p15,0.905,1.995,2.5290405770233777,0.8840346941136166,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.3398629540217918
42,k2_bin6-8_splitood,greedy_dyn_2_fused,2,p15,0.91,2.0,2.561264371581456,0.8917253217823995,1.0,0.0,0.0,0.0,0.0,1.0,0.3654935643520081,0.3401948502547701
42,k2_bin8-10_splitood,PPO_BCD,2,p15,0.705,2.0,3.13876488001384,0.6849213308331682,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.37082669719802763
42,k2_bin8-10_splitood,random_uniform_valid,2,p15,0.05,1.98,4.130189898158259,0.023734915297003917,1.0,0.0,0.0,0.018585203997790813,0.07,0.93,0.41813128606433997,0.38381508583679513
42,k2_bin8-10_splitood,always_noop,2,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k2_bin8-10_splitood,greedy_dyn_1_fused,2,p15,0.705,2.0,2.8721213261532537,0.6840773143950648,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.38180041497123
42,k2_bin8-10_splitood,greedy_dyn_2_fused,2,p15,0.695,2.0,2.916626142109791,0.6740391635872437,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3794241496625308
42,k3_bin6-8_splitood,PPO_BCD,3,p15,1.0,2.175,2.5340713389013807,0.9822068481671116,1.0,0.0,0.0,0.0,0.0,1.0,0.3558630366577688,0.3276775322307074
42,k3_bin6-8_splitood,random_uniform_valid,3,p15,0.35,2.805,3.485553351562203,0.32141313363235363,1.0,0.0,0.0,0.041936947219073775,0.125,0.88,0.3628634329147804,0.3268618565578308
42,k3_bin6-8_splitood,always_noop,3,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k3_bin6-8_splitood,greedy_dyn_1_fused,3,p15,1.0,2.09,2.4318646387367364,0.9790346941136167,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.33755856632468734
42,k3_bin6-8_splitood,greedy_dyn_2_fused,3,p15,1.0,2.09,2.474180102533397,0.9817240755266073,1.0,0.0,0.0,0.0,0.0,1.0,0.365518489467853,0.3385438581038486
42,k3_bin6-8_splitood,greedy_dyn_3_fused,3,p15,1.0,2.145,2.4824396110348,0.9816290157257551,1.0,0.0,0.0,0.0,0.0,1.0,0.36741968548489834,0.3371077547653143
42,k3_bin8-10_splitood,PPO_BCD,3,p15,1.0,2.295,2.718624105281011,0.9799213308331683,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.364477088207731
42,k3_bin8-10_splitood,random_uniform_valid,3,p15,0.25,2.89,3.5789267672461444,0.21908332861091157,1.0,0.0,0.0,0.02833851826377213,0.145,0.855,0.41665639125422443,0.3621763722570034
42,k3_bin8-10_splitood,always_noop,3,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k3_bin8-10_splitood,greedy_dyn_1_fused,3,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
42,k3_bin8-10_splitood,greedy_dyn_2_fused,3,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
42,k3_bin8-10_splitood,greedy_dyn_3_fused,3,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
42,k4_bin8-10_splitood,PPO_BCD,4,p15,1.0,2.295,2.718624105281011,0.9799213308331683,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.364477088207731
42,k4_bin8-10_splitood,random_uniform_valid,4,p15,0.44,3.605,3.3972503545609847,0.3873701882017669,0.5227272727272727,0.4772727272727273,0.0,0.06072328285314143,0.22,0.795,0.4191496702583801,0.352712793481688
42,k4_bin8-10_splitood,always_noop,4,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k4_bin8-10_splitood,greedy_dyn_1_fused,4,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
42,k4_bin8-10_splitood,greedy_dyn_2_fused,4,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
42,k4_bin8-10_splitood,greedy_dyn_3_fused,4,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
42,k5_bin8-10_splitood,PPO_BCD,5,p15,1.0,2.295,2.718624105281011,0.9799213308331683,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.364477088207731
42,k5_bin8-10_splitood,random_uniform_valid,5,p15,0.59,4.105,3.24080276674973,0.5259606251350994,0.4322033898305085,0.5677966101694916,0.0,0.07047015607357025,0.235,0.78,0.41684718515087044,0.34576107142722223
42,k5_bin8-10_splitood,always_noop,5,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k5_bin8-10_splitood,greedy_dyn_1_fused,5,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
42,k5_bin8-10_splitood,greedy_dyn_2_fused,5,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
42,k5_bin8-10_splitood,greedy_dyn_3_fused,5,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
42,k5_bin8-10_splitood,greedy_dyn_5_fused,5,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
42,k8_bin8-10_splitood,PPO_BCD,8,p15,1.0,2.295,2.718624105281011,0.9799213308331683,1.0,0.0,0.0,0.0,0.0,1.0,0.4015733833366357,0.364477088207731
42,k8_bin8-10_splitood,random_uniform_valid,8,p15,0.815,4.91,2.9565856424603476,0.6738360024498102,0.3374233128834356,0.4110429447852761,0.25153374233128833,0.06088815218769014,0.195,0.825,0.41850364662841516,0.34367662645677055
42,k8_bin8-10_splitood,always_noop,8,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,k8_bin8-10_splitood,greedy_dyn_1_fused,8,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
42,k8_bin8-10_splitood,greedy_dyn_2_fused,8,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
42,k8_bin8-10_splitood,greedy_dyn_3_fused,8,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
42,k8_bin8-10_splitood,greedy_dyn_5_fused,8,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
0,k2_bin6-8_splitood,PPO_BCD,2,p15,0.82,2.0,2.662369053931564,0.8018899652991766,1.0,0.0,0.0,0.0,0.0,1.0,0.36220069401646854,0.3369056769324354
0,k2_bin6-8_splitood,random_uniform_valid,2,p15,0.115,1.96,3.9295305030902274,0.0865716518559173,1.0,0.0,0.0,0.04460454647429288,0.12,0.885,0.3593578699330682,0.33640958563749324
0,k2_bin6-8_splitood,always_noop,2,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k2_bin6-8_splitood,greedy_dyn_1_fused,2,p15,0.905,1.995,2.5290405770233777,0.8840346941136166,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.3398629540217918
0,k2_bin6-8_splitood,greedy_dyn_2_fused,2,p15,0.91,2.0,2.561264371581456,0.8917253217823995,1.0,0.0,0.0,0.0,0.0,1.0,0.3654935643520081,0.3401948502547701
0,k2_bin8-10_splitood,PPO_BCD,2,p15,0.705,2.0,3.11322583768502,0.68480090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37801169797306966
0,k2_bin8-10_splitood,random_uniform_valid,2,p15,0.055,1.96,4.171574444908588,0.02552677188720097,1.0,0.0,0.0,0.034481483148410916,0.105,0.895,0.4155015959591587,0.3813333592536886
0,k2_bin8-10_splitood,always_noop,2,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k2_bin8-10_splitood,greedy_dyn_1_fused,2,p15,0.705,2.0,2.8721213261532537,0.6840773143950648,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.38180041497123
0,k2_bin8-10_splitood,greedy_dyn_2_fused,2,p15,0.695,2.0,2.916626142109791,0.6740391635872437,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3794241496625308
0,k3_bin6-8_splitood,PPO_BCD,3,p15,1.0,2.18,2.5064047750470895,0.9818899652991766,1.0,0.0,0.0,0.0,0.0,1.0,0.36220069401646854,0.33316173871748167
0,k3_bin6-8_splitood,random_uniform_valid,3,p15,0.32,2.8,3.5494478373232927,0.2944048113469277,1.0,0.0,0.0,0.029213950484991074,0.09,0.92,0.3634758720914631,0.3278970348066769
0,k3_bin6-8_splitood,always_noop,3,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k3_bin6-8_splitood,greedy_dyn_1_fused,3,p15,1.0,2.09,2.4318646387367364,0.9790346941136167,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.33755856632468734
0,k3_bin6-8_splitood,greedy_dyn_2_fused,3,p15,1.0,2.09,2.474180102533397,0.9817240755266073,1.0,0.0,0.0,0.0,0.0,1.0,0.365518489467853,0.3385438581038486
0,k3_bin6-8_splitood,greedy_dyn_3_fused,3,p15,1.0,2.145,2.4824396110348,0.9816290157257551,1.0,0.0,0.0,0.0,0.0,1.0,0.36741968548489834,0.3371077547653143
0,k3_bin8-10_splitood,PPO_BCD,3,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k3_bin8-10_splitood,random_uniform_valid,3,p15,0.305,2.855,3.5931812469719295,0.2737460877888273,1.0,0.0,0.0,0.041691109780222176,0.13,0.875,0.4116960246630096,0.3569137143562803
0,k3_bin8-10_splitood,always_noop,3,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k3_bin8-10_splitood,greedy_dyn_1_fused,3,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k3_bin8-10_splitood,greedy_dyn_2_fused,3,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k3_bin8-10_splitood,greedy_dyn_3_fused,3,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k4_bin8-10_splitood,PPO_BCD,4,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k4_bin8-10_splitood,random_uniform_valid,4,p15,0.535,3.61,3.25736337250961,0.4894234382872623,0.5420560747663551,0.45794392523364486,0.0,0.0423122088983655,0.13,0.885,0.4229068164580231,0.356449408346987
0,k4_bin8-10_splitood,always_noop,4,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k4_bin8-10_splitood,greedy_dyn_1_fused,4,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k4_bin8-10_splitood,greedy_dyn_2_fused,4,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k4_bin8-10_splitood,greedy_dyn_3_fused,4,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k5_bin8-10_splitood,PPO_BCD,5,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k5_bin8-10_splitood,random_uniform_valid,5,p15,0.58,4.115,3.2241990388848047,0.5179833663820688,0.4827586206896552,0.5172413793103449,0.0,0.06890794469043612,0.21,0.8,0.42051678297775213,0.3482175803228536
0,k5_bin8-10_splitood,always_noop,5,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k5_bin8-10_splitood,greedy_dyn_1_fused,5,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k5_bin8-10_splitood,greedy_dyn_2_fused,5,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k5_bin8-10_splitood,greedy_dyn_3_fused,5,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k5_bin8-10_splitood,greedy_dyn_5_fused,5,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
0,k8_bin8-10_splitood,PPO_BCD,8,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k8_bin8-10_splitood,random_uniform_valid,8,p15,0.78,4.765,3.097662889088196,0.6414880947893312,0.42948717948717946,0.33974358974358976,0.23076923076923078,0.045805499562993644,0.2,0.82,0.4206271050873913,0.3454746765407327
0,k8_bin8-10_splitood,always_noop,8,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k8_bin8-10_splitood,greedy_dyn_1_fused,8,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k8_bin8-10_splitood,greedy_dyn_2_fused,8,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k8_bin8-10_splitood,greedy_dyn_3_fused,8,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
