field_id,cell_id,K,epsilon,beam_reach_at_K_p15,n_pool,n_episodes,status
artifacts_64__dynamics,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics,k3_bin6-8_splitood,3,2.9898,0.96875,183,64,ok
artifacts_64__dynamics,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k2_bin6-8_splitood,2,2.9898,0.78125,183,64,ok
artifacts_64__dynamics_variants__baseline_plain,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k3_bin6-8_splitood,3,2.9898,0.9375,183,64,ok
artifacts_64__dynamics_variants__baseline_plain,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics_variants__gene_bias,k2_bin8-10_splitood,2,2.9898,0.1875,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics_variants__state_linear,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics_variants__state_linear,k3_bin6-8_splitood,3,2.9898,0.96875,183,64,ok
artifacts_64__dynamics_variants__state_linear,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics_variants__state_linear,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin6-8_splitood,2,2.9898,0.90625,183,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin8-10_splitood,2,2.9898,0.671875,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin6-8_splitood,2,2.9898,0.796875,183,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin8-10_splitood,2,2.9898,0.046875,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts__dynamics,k2_bin6-8_splitood,2,2.9898,0.453125,227,64,ok
artifacts__dynamics,k2_bin8-10_splitood,2,2.9898,0.40625,17,64,ok
artifacts__dynamics,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts__dynamics,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k2_bin6-8_splitood,2,2.9898,0.4375,227,64,ok
artifacts__dynamics_ablation__baseline,k2_bin8-10_splitood,2,2.9898,0.109375,17,64,ok
artifacts__dynamics_ablation__baseline,k3_bin6-8_splitood,3,2.9898,0.875,227,64,ok
artifacts__dynamics_ablation__baseline,k3_bin8-10_splitood,3,2.9898,0.90625,17,64,ok
artifacts__dynamics_ablation__baseline,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k2_bin6-8_splitood,2,2.9898,0.578125,227,64,ok
artifacts__dynamics_ablation__gene_bias,k2_bin8-10_splitood,2,2.9898,0.296875,17,64,ok
artifacts__dynamics_ablation__gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,227,64,ok
artifacts__dynamics_ablation__gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k2_bin6-8_splitood,2,2.9898,0.515625,227,64,ok
artifacts__dynamics_ablation__state_linear,k2_bin8-10_splitood,2,2.9898,0.296875,17,64,ok
artifacts__dynamics_ablation__state_linear,k3_bin6-8_splitood,3,2.9898,0.953125,227,64,ok
artifacts__dynamics_ablation__state_linear,k3_bin8-10_splitood,3,2.9898,0.796875,17,64,ok
artifacts__dynamics_ablation__state_linear,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k2_bin6-8_splitood,2,2.9898,0.71875,227,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k2_bin8-10_splitood,2,2.9898,0.578125,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,227,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_current_default,k2_bin6-8_splitood,2,2.9898,0.453125,227,64,ok
artifacts__dynamics_current_default,k2_bin8-10_splitood,2,2.9898,0.40625,17,64,ok
artifacts__dynamics_current_default,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts__dynamics_current_default,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_current_default,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_current_default,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_current_default,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_default_check,k2_bin6-8_splitood,2,2.9898,0.453125,227,64,ok
artifacts__dynamics_default_check,k2_bin8-10_splitood,2,2.9898,0.40625,17,64,ok
artifacts__dynamics_default_check,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts__dynamics_default_check,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_default_check,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_default_check,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_default_check,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k2_bin6-8_splitood,2,2.9898,0.515625,227,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k2_bin8-10_splitood,2,2.9898,0.296875,17,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k3_bin6-8_splitood,3,2.9898,0.953125,227,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k3_bin8-10_splitood,3,2.9898,0.796875,17,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-3_mse0,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k2_bin6-8_splitood,2,2.9898,0.5,227,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k2_bin8-10_splitood,2,2.9898,0.234375,17,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr1e-4_mse0,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k2_bin6-8_splitood,2,2.9898,0.453125,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k2_bin8-10_splitood,2,2.9898,0.1875,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k3_bin6-8_splitood,3,2.9898,0.9375,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k3_bin8-10_splitood,3,2.9898,0.90625,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse0,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k2_bin6-8_splitood,2,2.9898,0.421875,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k2_bin8-10_splitood,2,2.9898,0.1875,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k3_bin6-8_splitood,3,2.9898,0.953125,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k3_bin8-10_splitood,3,2.9898,0.828125,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse005,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k2_bin6-8_splitood,2,2.9898,0.421875,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k2_bin8-10_splitood,2,2.9898,0.1875,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k3_bin6-8_splitood,3,2.9898,0.953125,227,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k3_bin8-10_splitood,3,2.9898,0.921875,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_sweeps__lr3e-4_mse01,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k2_bin6-8_splitood,2,2.9898,0.0,227,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k2_bin8-10_splitood,2,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k3_bin6-8_splitood,3,2.9898,0.0,227,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k3_bin8-10_splitood,3,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k4_bin8-10_splitood,4,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k5_bin8-10_splitood,5,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_005,k8_bin8-10_splitood,8,2.9898,0.25,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_010,k2_bin6-8_splitood,2,2.9898,0.0,227,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k2_bin8-10_splitood,2,2.9898,0.0,17,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k3_bin6-8_splitood,3,2.9898,0.015,227,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k3_bin8-10_splitood,3,2.9898,0.0,17,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k4_bin8-10_splitood,4,2.9898,0.0,17,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k5_bin8-10_splitood,5,2.9898,0.0,17,200,ok
artifacts_v2__dynamics_mean_delta_corr_010,k8_bin8-10_splitood,8,2.9898,0.265,17,200,ok
artifacts_v2__dynamics_mean_delta_corr_030,k2_bin6-8_splitood,2,2.9898,0.0,227,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k2_bin8-10_splitood,2,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k3_bin6-8_splitood,3,2.9898,0.03125,227,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k3_bin8-10_splitood,3,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k4_bin8-10_splitood,4,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k5_bin8-10_splitood,5,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_corr_030,k8_bin8-10_splitood,8,2.9898,0.25,17,64,ok
artifacts_v2__dynamics_mean_delta_default,k2_bin6-8_splitood,2,2.9898,0.0,227,64,ok
artifacts_v2__dynamics_mean_delta_default,k2_bin8-10_splitood,2,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_default,k3_bin6-8_splitood,3,2.9898,0.03125,227,64,ok
artifacts_v2__dynamics_mean_delta_default,k3_bin8-10_splitood,3,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_default,k4_bin8-10_splitood,4,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_default,k5_bin8-10_splitood,5,2.9898,0.0,17,64,ok
artifacts_v2__dynamics_mean_delta_default,k8_bin8-10_splitood,8,2.9898,0.25,17,64,ok
artifacts_v2__dynamics_random_default,k2_bin6-8_splitood,2,2.9898,1.0,227,64,ok
artifacts_v2__dynamics_random_default,k2_bin8-10_splitood,2,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_random_default,k3_bin6-8_splitood,3,2.9898,1.0,227,64,ok
artifacts_v2__dynamics_random_default,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_random_default,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_random_default,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_random_default,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_soft_ot_default,k2_bin6-8_splitood,2,2.9898,0.0,227,24,ok
artifacts_v2__dynamics_soft_ot_default,k2_bin8-10_splitood,2,2.9898,0.0,17,24,ok
artifacts_v2__dynamics_soft_ot_default,k3_bin6-8_splitood,3,2.9898,0.0,227,24,ok
artifacts_v2__dynamics_soft_ot_default,k3_bin8-10_splitood,3,2.9898,0.0,17,24,ok
artifacts_v2__dynamics_soft_ot_default,k4_bin8-10_splitood,4,2.9898,0.0,17,24,ok
artifacts_v2__dynamics_soft_ot_default,k5_bin8-10_splitood,5,2.9898,0.0,17,24,ok
artifacts_v2__dynamics_soft_ot_default,k8_bin8-10_splitood,8,2.9898,0.0,17,24,ok
artifacts_v2__dynamics_v1ot_ror,k2_bin6-8_splitood,2,2.9898,0.703125,227,64,ok
artifacts_v2__dynamics_v1ot_ror,k2_bin8-10_splitood,2,2.9898,0.109375,17,64,ok
artifacts_v2__dynamics_v1ot_ror,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts_v2__dynamics_v1ot_ror,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k2_bin6-8_splitood,2,2.9898,0.671875,227,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k2_bin8-10_splitood,2,2.9898,0.109375,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k3_bin6-8_splitood,3,2.9898,0.9375,227,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr005,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k2_bin6-8_splitood,2,2.9898,0.655,227,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k2_bin8-10_splitood,2,2.9898,0.12,17,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k3_bin6-8_splitood,3,2.9898,0.975,227,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k3_bin8-10_splitood,3,2.9898,1.0,17,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k4_bin8-10_splitood,4,2.9898,1.0,17,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k5_bin8-10_splitood,5,2.9898,1.0,17,200,ok
artifacts_v2__dynamics_v1ot_ror_corr010,k8_bin8-10_splitood,8,2.9898,1.0,17,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k2_bin6-8_splitood,2,3.0078373034795125,0.895,183,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k2_bin8-10_splitood,2,3.0078373034795125,0.56,8,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k3_bin6-8_splitood,3,3.0078373034795125,1.0,183,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k3_bin8-10_splitood,3,3.0078373034795125,1.0,8,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k4_bin8-10_splitood,4,3.0078373034795125,1.0,8,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k5_bin8-10_splitood,5,3.0078373034795125,1.0,8,200,ok
artifacts_v3__dynamics_n64_legacy_ror_corr010,k8_bin8-10_splitood,8,3.0078373034795125,1.0,8,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k2_bin6-8_splitood,2,3.09588991800944,0.855,268,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k2_bin8-10_splitood,2,3.09588991800944,0.435,15,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k3_bin6-8_splitood,3,3.09588991800944,1.0,268,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k3_bin8-10_splitood,3,3.09588991800944,1.0,15,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k4_bin8-10_splitood,4,3.09588991800944,1.0,15,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k5_bin8-10_splitood,5,3.09588991800944,1.0,15,200,ok
artifacts_v3__dynamics_n64_nb_ror_corr010,k8_bin8-10_splitood,8,3.09588991800944,1.0,15,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k2_bin6-8_splitood,2,3.0078373034795125,0.745,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k2_bin8-10_splitood,2,3.0078373034795125,0.56,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k3_bin6-8_splitood,3,3.0078373034795125,0.97,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k3_bin8-10_splitood,3,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k4_bin8-10_splitood,4,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k5_bin8-10_splitood,5,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v1,k8_bin8-10_splitood,8,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k2_bin6-8_splitood,2,3.0078373034795125,0.285,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k2_bin8-10_splitood,2,3.0078373034795125,0.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k3_bin6-8_splitood,3,3.0078373034795125,0.89,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k3_bin8-10_splitood,3,3.0078373034795125,0.56,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k4_bin8-10_splitood,4,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k5_bin8-10_splitood,5,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v2_aggressive,k8_bin8-10_splitood,8,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k2_bin6-8_splitood,2,3.0078373034795125,0.79,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k2_bin8-10_splitood,2,3.0078373034795125,0.435,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k3_bin6-8_splitood,3,3.0078373034795125,0.98,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k3_bin8-10_splitood,3,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k4_bin8-10_splitood,4,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k5_bin8-10_splitood,5,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v3_diverse,k8_bin8-10_splitood,8,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k2_bin6-8_splitood,2,3.0078373034795125,0.3,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k2_bin8-10_splitood,2,3.0078373034795125,0.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k3_bin6-8_splitood,3,3.0078373034795125,0.915,183,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k3_bin8-10_splitood,3,3.0078373034795125,0.63,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k4_bin8-10_splitood,4,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k5_bin8-10_splitood,5,3.0078373034795125,1.0,8,200,ok
artifacts_v3__v3c__dynamics_candidates__contraction_aware_v4_combo,k8_bin8-10_splitood,8,3.0078373034795125,1.0,8,200,ok
